ip,timestamp,method,url,status,response_size
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:23:57 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:24:03 -0400,GET,/images/Nasa-logo.gif,404,
ottgate2.bnr.ca,01/Aug/1995:03:24:05 -0400,GET,/images/Nasa-logo.gif,404,
slip167.slip.uleth.ca,01/Aug/1995:03:24:08 -0400,GET,/images/Nasa-logo.gif,404,
dialup516.chicago.mci.net,01/Aug/1995:03:24:23 -0400,GET,/images/Nasa-logo.gif,404,
slip167.slip.uleth.ca,01/Aug/1995:03:24:45 -0400,GET,/images/Nasa-logo.gif,404,
slip167.slip.uleth.ca,01/Aug/1995:03:25:20 -0400,GET,/images/Nasa-logo.gif,404,
ottgate2.bnr.ca,01/Aug/1995:03:25:22 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:25:25 -0400,GET,/images/Nasa-logo.gif,404,
dialup516.chicago.mci.net,01/Aug/1995:03:26:05 -0400,GET,/images/Nasa-logo.gif,404,
sam-ppp-m2.neosoft.com,01/Aug/1995:03:26:54 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:27:56 -0400,GET,/images/Nasa-logo.gif,404,
slip167.slip.uleth.ca,01/Aug/1995:03:28:02 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:28:13 -0400,GET,/images/Nasa-logo.gif,404,
dialup516.chicago.mci.net,01/Aug/1995:03:28:14 -0400,GET,/images/Nasa-logo.gif,404,
ottgate2.bnr.ca,01/Aug/1995:03:29:45 -0400,GET,/images/Nasa-logo.gif,404,
ottgate2.bnr.ca,01/Aug/1995:03:32:57 -0400,GET,/images/Nasa-logo.gif,404,
ottgate2.bnr.ca,01/Aug/1995:03:34:06 -0400,GET,/images/Nasa-logo.gif,404,
ottgate2.bnr.ca,01/Aug/1995:03:36:07 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:37:33 -0400,GET,/images/Nasa-logo.gif,404,
